symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
WFDC12	0.3558088351953914	No data	0.5852785162279297	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0	No data	0.24379481522338664	No data	0	No data	No data	0	1	0.5
ZNF608	0.35472703093663577	No data	0.5834990303670295	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6527799999999999	No data	-0.9758411472697187	No data	0	No data	No data	0	-1	-1
CDK5RAP2	0.35226732488914203	No data	0.5794530006920119	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.44622173193601766	-0.8156682095309172	0	No data	No data	0	-1	-1
ENOX1	0.35024442668096767	No data	0.5761254867445006	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.8833599999999997	No data	-0.5356867071152785	-0.2968332104456023	0	No data	No data	-0.047434999999999936	-1	0
KIZ	0.34827202309334276	No data	0.5728810326135799	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.42437948152233873	0	No data	No data	No data	No data	-1	-1
PJA1	0.3473078862787428	No data	0.5694713083706271	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	No data	0	0	0	0	0	0	No data	No data	-0.5467128407809471	0	No data	No data	0	0.5	-1
RSRC1	0.3438235908212493	No data	0.5655636993092465	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5958100000000002	No data	0.4691671263099835	No data	0	No data	No data	No data	-1	-1
SETBP1	0.3344549766743251	No data	0.5501530404254876	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4768149999999999	No data	-0.983011583011583	-0.43423810300908944	0	No data	255	0	-1	0
PAX6	0.3320103436112859	No data	0.5455238738677477	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0.83945	No data	-0.9398786541643684	-0.973786924279282	0	255	No data	0	0.75	0.5
IFI44	0.3294696449903586	No data	0.5419525483570607	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.3756205184776613	-0.06618660464602966	0	No data	No data	0	0.5	-1
ANKS1B	0.3280265031520136	No data	0.5389707588176077	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	0	0	0	0.6264600000000001	No data	-0.8884721456150028	-0.551243653830459	0	255	No data	0	1	0
IGSF9B	0.32800460586732055	No data	0.539542670244628	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7981900000000003	No data	-0.7054605626034198	-0.10129547872063965	0	No data	No data	0	0.5	0
