symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PIDD1	0.46243679317423314	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	0.06043999999999983	No data	0.4364037506894649	0	0	No data	No data	0	-1	0
DEAF1	0.45919544204064827	No data	No data	0.1899783742536316	0.705959638726495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08493307797313919	No data	No data	No data	0	0	0	0	0	0.6814149999999998	No data	0.3617209045780474	-0.6015896165625925	0	No data	No data	No data	1	0
DCC	0.4562053166274806	No data	0.3718231164709126	No data	0.6565652614205508	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04059289031385596	No data	No data	No data	0	0	0	0	0	0.8237749999999998	No data	-0.7792608935466079	-0.8189250094948058	0	No data	No data	0	0.5	0.5
SCN1A	0.45558967559792724	0.15615209145652495	No data	0.15198269940290526	0.685188669808098	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14647276722133548	No data	0.569998448885646	1	1	0	1	1	0	0.9079149999999998	1	-0.9952564809707667	-0.9660785890273346	0	255	No data	-0.6876550000000001	0.5	0.5
MBD5	0.45538804175883335	No data	No data	0.1899783742536316	0.6991204172533643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11086824824975657	No data	No data	No data	0	0	0	0	0	0.11696499999999972	No data	-0.9756205184776613	-0.8864282952465632	0	No data	No data	0	-1	-1
IGSF9B	0.4543099681465718	No data	0.726493227319168	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	0.4108396330259335	No data	0	0	0	0	0	0.7981900000000003	No data	-0.7054605626034198	-0.10129547872063965	0	No data	No data	0	0.5	0
ARID1B	0.4535243560629465	No data	0.5249254872643443	0.5526703602223112	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16262814977059156	No data	No data	No data	1	0	0	0	0	0.48145000000000027	No data	-0.9535576392719249	-0.930689450883437	0	No data	255	0	-1	-1
GRIN2A	0.45228900532044186	0.5353781952942588	0.6069003234253688	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14562890082578184	No data	No data	1	0	0	1	1	0	0.7643450000000002	1	-0.9111969111969112	-0.3220483859011447	0	255	255	0	1	0.5
NR3C2	0.4505004004886611	No data	No data	0.15198269940290526	0.6991204172533643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17652864631521306	No data	No data	1	0	0	1	1	0	0.5426850000000002	1	-0.9105350248207391	-0.8903501003255712	0	255	No data	0	-1	-1
FES	0.44861839692117234	No data	0.7373352671513331	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	1	1	0	0.5316299999999998	No data	-0.013789299503585206	-0.934734221644648	0	No data	255	0	0.5	-1
BRSK2	0.44836878115553924	No data	No data	0.5080630403889199	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11637185668769565	No data	No data	No data	0	0	1	1	0	0.8981000000000001	No data	-0.8373965802537231	No data	0	No data	No data	-0.3987774999999999	0.75	0
SLC39A8	0.44499695476507023	No data	0.731226287092478	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	1	0	0	0	0	0.4673900000000003	No data	-0.566023166023166	-0.9246505496407387	0	255	No data	0	0.5	0
SOX7	0.44360830489969527	No data	0.7105318925207558	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.38340168969372895	No data	No data	No data	0	0	0	0	0	0.3685549999999999	No data	0.5831218974076118	-0.27833639798513277	0	No data	No data	0	0.5	0
SORCS3	0.44214316850282154	No data	0.7110519119750716	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3248005381972888	No data	No data	No data	1	0	0	0	0	0.6194749999999999	No data	-0.6720353006067292	-0.1250770947412433	0	No data	No data	-0.030277500000000047	0.5	0.5
STX1A	0.44205255440241153	No data	No data	No data	0.7173583411817129	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19569088777316843	No data	No data	No data	0	0	0	0	0	0.9131950000000003	No data	-0.9194704908990623	-0.8130053201826478	0	No data	No data	-0.5746524999999998	0.75	0
TSC2	0.4384630598326344	No data	No data	0.15200251088460656	0.670074834700809	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23173417127928966	No data	0.46198350007167116	No data	0	0	0	0	0	0.5766449999999999	No data	-0.9547710976282405	-0.9582377212929366	0	No data	255	0	-1	-1
KAT6A	0.43028976213358566	No data	No data	No data	0.7038487679014547	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07890435144000832	No data	No data	No data	0	0	1	1	1	0.4635750000000002	1	-0.9976833976833976	-0.9631510735902468	0	No data	255	0	-1	-1
TNRC6B	0.4279476933787059	No data	No data	No data	0.6974317205933319	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13019479237781942	No data	No data	No data	0	0	0	0	0	0.653575	No data	-0.8604522890237176	-0.6882134189171468	0	No data	No data	0	-1	-1
CACNA1C	0.427817345780937	0.030396539880581056	0.6688476079137203	No data	0.015198269940290528	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4868732387185766	No data	0.36126287648070576	1	1	0	1	1	0	0.7708150000000004	No data	-0.9643684500827358	-0.9658759542135883	0	255	No data	-0.17212250000000004	0.5	0
TCF12	0.42547880770576296	No data	No data	No data	0.6991204172533643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	0.7804549999999999	No data	-0.5565361279646994	-0.7666594690973507	0	No data	No data	0	-1	-1
DYNC1H1	0.42468999802482815	No data	No data	0.44501111096743207	0.586239385623915	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04907859103051817	No data	No data	No data	0	0	0	0	0	0.9580300000000002	No data	-0.9899613899613899	-0.906564991451006	-1	No data	No data	0	0.5	0
BCL11B	0.4232084285139152	No data	0.5433673271893741	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04534036995098306	No data	No data	No data	0	0	0	0	0	0.6700200000000003	No data	-0.728626585769443	-0.8417979750908335	0	No data	No data	0	0.75	0
RGS6	0.4213703994285116	No data	0.6907792444826893	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04686133231589579	No data	No data	No data	0	0	0	0	0	0.887755	No data	-0.4864864864864865	-0.5716429955725768	0	No data	No data	-0.27550999999999987	0.5	0
CUL3	0.4213488776135471	No data	No data	0.32328066507730424	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19511754597623798	No data	No data	No data	0	0	0	0	0	0.9739600000000003	No data	-0.8326530612244898	-0.9312937101863344	-1	No data	No data	0	0.5	-1
