symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NOC4L	0.4791090291238817	No data	0.12784610653512002	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7557311588419362	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0	No data	-0.007942636514065127	0	-1	No data	No data	No data	-1	0
AP2S1	0.47739715964813434	No data	0.07733631178560592	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7573414194114585	No data	No data	0.3597594552027363	0.04895403649263028	No data	No data	1	0	0	0	0	1	No data	-0.7110865968008826	-0.7261145680412808	0	No data	No data	0	-1	-1
SLC24A4	0.4770198056518296	No data	0.7747373101834288	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.198480970407757	No data	No data	No data	1	0	0	0	0	0.6945349999999998	No data	-0.18466629895201325	-0.6693099397775356	0	No data	No data	0	0.75	0.5
INPP5D	0.47693438573711233	No data	0.740119762423912	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8880217401278773	No data	No data	0.7	0	0	0	0	0	0.3860399999999998	No data	-0.8156646442360728	-0.8684619726424581	No data	No data	No data	0	0.5	0
SHARPIN	0.4765564735652801	No data	0.7657759212052825	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.362465827968054	No data	No data	No data	1	0	0	1	0	0	No data	-0.11450634307777163	-0.7749801323561342	0	No data	No data	0	-1	-1
RRP15	0.47269770861454297	No data	0.07112260308161489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7597711864973107	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.032873690016547163	No data	-1	No data	No data	No data	-1	-1
RASGEF1C	0.4703869592573467	No data	0.7696007416821729	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08300176710639377	No data	No data	No data	0	0	0	0	0	0.7317599999999999	No data	-0.5483728626585769	No data	0	No data	No data	-0.2221025000000001	1	0.5
TMEM106B	0.46477010434328786	No data	0.7186746742722998	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9167371187356326	No data	No data	No data	0	0	0	0	0	0.7992699999999999	No data	-0.26530612244897955	-0.30023325974224163	0	No data	No data	No data	-1	-1
FERMT2	0.46166179348424585	No data	0.7306196322487121	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5633911542580086	0.027423220861334467	No data	No data	0	0	0	0	0	0.9117649999999997	No data	-0.8829564258135687	No data	0	No data	No data	-0.07720500000000001	-1	0
PTK2B	0.46144754498748014	No data	0.7248882976718863	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6831574937825821	No data	No data	0.7	1	0	1	1	1	0.7720500000000001	1	-0.6188637617209045	0	0	No data	No data	0	0.5	-1
DIMT1	0.4585183207363117	No data	0.04749992471123353	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7423528397151181	No data	No data	No data	No data	No data	No data	0	0	0	0	1	0.7923299999999998	No data	0.2522890237175952	0	-1	No data	No data	0	-1	-1
MT-ND1	0.4574563770686376	No data	No data	No data	0.547137717850459	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3494599704919576	No data	No data	1	0	0	0	0	0	0	No data	No data	No data	No data	255	No data	No data	0.5	-1
JAZF1	0.45097252206573296	No data	0.5226032628245721	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	0.1252725673764843	0.03600855258961789	No data	No data	0	0	0	0	0	0.9794249999999998	No data	-0.7539988968560397	-0.37483691099318206	0	No data	No data	No data	0.5	-1
ECHDC3	0.4487633650003666	No data	0.7316353029252731	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1309271301214047	No data	No data	No data	0	0	0	0	1	0.07590999999999966	No data	0.7490347490347491	No data	0	No data	No data	0	0.5	-1
WRAP53	0.4486477754083084	No data	0.03278496023625167	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7295250918048158	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0	No data	-0.5109762824048538	-0.8134600648847009	0	No data	No data	No data	-1	-1
PILRA	0.446425426458706	No data	0.7009162824002937	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6683929131388621	No data	No data	No data	1	1	0	0	0	No data	No data	0.6258135686707116	-0.846445162482797	0	No data	No data	-0.05115499999999997	-1	-1
IL34	0.44191472092407275	No data	0.7037434998707818	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.46345320187691524	No data	No data	No data	0	1	0	0	0	0	No data	0.5225592939878654	-0.6112129998752486	0	No data	No data	No data	0.5	0
ABCA1	0.4368866031626134	No data	0.6727563775176181	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.917778210599728	No data	No data	1	1	0	0	0	0	0.7655900000000002	No data	-0.6174296745725317	-0.9513776976647986	0	No data	No data	0	-1	-1
ABI3	0.4368560009612777	No data	0.673500545965503	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9018880756924874	No data	No data	No data	0	0	0	0	0	0.2622950000000003	No data	0.25317153888582467	No data	0	No data	No data	0	0.5	0
RAP2B	0.4365547280618806	No data	0.3189288844523276	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6380969661285179	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	1	No data	-0.19415333701047988	-0.21021204450098724	0	No data	No data	-0.7677600000000002	-1	0
ATP8B4	0.43385845959073516	No data	0.7056682027661453	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15992038084107077	No data	No data	No data	0	0	0	0	0	0.32047000000000025	No data	0.0792057363485934	No data	0	No data	No data	-0.25755000000000017	1	0
NECTIN2	0.4295916112955035	No data	0.6654025880356239	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8248598464388925	No data	No data	No data	1	0	0	0	0	0	No data	-0.4923331494760066	0	0	No data	No data	0	-1	-1
TSPAN14	0.42340314597686457	No data	0.6898236265671117	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13284796501324983	No data	No data	No data	0	0	0	0	0	0.8703699999999998	No data	-0.45692222835079976	No data	0	No data	No data	0	-1	-1
PRSS8	0.4223067864061274	No data	0.6900070287518514	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09311135644085991	No data	No data	No data	1	1	1	1	0	0	No data	-0.302592388306674	-0.6550766883824904	0	No data	No data	No data	0.5	0
PDE7B	0.41577435461510537	No data	0.4967665546857109	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5594554121684383	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	0	0.41111000000000003	No data	-0.2997242140099283	0	0	No data	No data	0	-1	0
