"dataset";"trait";"gene_list";"cluster";"median.genes";"median.umi";"median.score_genetic";"neg.log10.p.val_genetic";"neg.log10.p.val.adj_genetic";"median.score_drugs";"neg.log10.p.val_drugs";"neg.log10.p.val.adj_drugs"
"lung_bronchi_human_A50";"LD";"all_genes";"cluster_0";1713;3700;0.0372141784367322;1.66962965392767;0.970659649591653;"0.0996954089472454";"3.30107342294084";"2.60210341860483"
"lung_bronchi_human_A50";"LD";"all_genes";"cluster_1";5994;38503;0.0244176471083092;0.995292271685862;0.296322267349843;"0.0984543342497719";"3.00004342727686";"2.30107342294084"
"lung_bronchi_human_A50";"LD";"all_genes";"cluster_2";1346;2732.5;0.0416233098886555;1.8996728821593;1.20070287782328;"0.121692396171471";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"LD";"all_genes";"cluster_3";3425.5;12152.5;0.0393298127569084;1.69901343161288;1.00004342727686;"0.104477265538212";"3.5229221725572";"2.82395216822118"
"lung_bronchi_human_A50";"LD";"all_genes";"cluster_4";1851;4108;0.0494214360615126;2.3979834359489;1.69901343161288;"0.12341911109031";"3.69901343161288";"3.00004342727686"
"lung_bronchi_human_A50";"LDL";"all_genes";"cluster_0";1713;3700;-0.007951621562443;0.143979473943763;0;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"LDL";"all_genes";"cluster_1";5994;38503;-0.0155775050325549;0.0675696625997094;0;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"LDL";"all_genes";"cluster_2";1346;2732.5;-0.00104349029871954;0.288826902955773;0;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"LDL";"all_genes";"cluster_3";3425.5;12152.5;-0.00311622290639257;0.236166395781208;0;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"LDL";"all_genes";"cluster_4";1851;4108;0.0115547446643381;0.720832914675468;0.0218629103394487;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"LID";"all_genes";"cluster_0";1713;3700;0.0445002669286648;2.3979834359489;1.69901343161288;"0.132230588038906";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"LID";"all_genes";"cluster_1";5994;38503;0.0201019306481606;0.929266964433428;0.230296960097409;"0.115766061990117";"3.69901343161288";"3.00004342727686"
"lung_bronchi_human_A50";"LID";"all_genes";"cluster_2";1346;2732.5;0.0554450755619566;3.22189217689322;2.5229221725572;"0.160074084519242";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"LID";"all_genes";"cluster_3";3425.5;12152.5;0.0454532323213629;2.37679413687896;1.67782413254294;"0.144990068005799";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"LID";"all_genes";"cluster_4";1851;4108;0.0492559248057556;2.69901343161288;2.00004342727686;"0.148410461599591";"3.69901343161288";"3.00004342727686"
"lung_bronchi_human_A50";"MDD";"all_genes";"cluster_0";1713;3700;-0.0332375979957794;0.0306741155433352;0;"0.189079119505931";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"MDD";"all_genes";"cluster_1";5994;38503;-0.0246786615974725;0.121406754250346;0;"0.193957931190298";"3.69901343161288";"3.00004342727686"
"lung_bronchi_human_A50";"MDD";"all_genes";"cluster_2";1346;2732.5;-0.0339448211039252;0.0475900308538295;0;"0.235559556377718";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"MDD";"all_genes";"cluster_3";3425.5;12152.5;-0.0441262061370485;0.017410432882013;0;"0.201412581364731";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"MDD";"all_genes";"cluster_4";1851;4108;-0.0338895792155541;0.059427344939455;0;"0.187703452300915";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"MI";"all_genes";"cluster_0";1713;3700;-0.0149810186772243;0.156810649178853;0;"0.0364686726103101";"0.975557759577696";"0.276587755241677"
"lung_bronchi_human_A50";"MI";"all_genes";"cluster_1";5994;38503;-0.0263514655697411;0.0854358595057822;0;"0.00317617233701245";"0.335307458758158";"0"
"lung_bronchi_human_A50";"MI";"all_genes";"cluster_2";1346;2732.5;0.00436886703018839;0.427636559718807;0;"0.0344274761677464";"0.876518446334131";"0.177548441998112"
"lung_bronchi_human_A50";"MI";"all_genes";"cluster_3";3425.5;12152.5;0.00465351475591036;0.429383757255329;0;"0.0389542933325385";"0.86268931590613";"0.163719311570111"
"lung_bronchi_human_A50";"MI";"all_genes";"cluster_4";1851;4108;0.0232128052159205;0.766286064311352;0.0673160599753334;"0.055686394838614";"1.02830383638908";"0.329333832053066"
"lung_bronchi_human_A50";"MS";"all_genes";"cluster_0";1713;3700;-0.000658390270184661;0.336342501887215;0;"0.144367980411856";"3.69901343161288";"3.00004342727686"
"lung_bronchi_human_A50";"MS";"all_genes";"cluster_1";5994;38503;-0.040307998020257;0.0214064788923883;0;"0.11247390761025";"2.67782413254294";"1.97885412820692"
"lung_bronchi_human_A50";"MS";"all_genes";"cluster_2";1346;2732.5;0.0105469303839917;0.528018729576581;0;"0.196119003370867";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"MS";"all_genes";"cluster_3";3425.5;12152.5;0.000999352430600203;0.3566894653;0;"0.181067509018871";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"MS";"all_genes";"cluster_4";1851;4108;0.00460883640555937;0.410428886645596;0;"0.145103797390977";"3.5229221725572";"2.82395216822118"
"lung_bronchi_human_A50";"NAFLD";"all_genes";"cluster_0";1713;3700;-0.0182473969009;0.134465719856934;0;"0.207628851725408";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"NAFLD";"all_genes";"cluster_1";5994;38503;-0.0177924457673025;0.165050823543833;0;"0.221115760618093";"4.00004342727686";"3.30107342294084"
