CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
26x44_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
26x46_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
26x48_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
26x50_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
26x52_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
26x54_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
27x21_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
27x23_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
27x25_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
27x27_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
27x29_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
27x31_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
27x33_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
27x35_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
27x37_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
27x39_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
27x41_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
27x43_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
27x45_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
27x47_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
27x49_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
27x51_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
27x53_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
27x55_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
28x20_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
28x22_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
28x24_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
28x26_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
28x28_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
28x30_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
28x32_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
28x34_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
28x36_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
28x38_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
28x40_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
28x42_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
28x44_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
28x46_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
28x48_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
28x50_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
28x52_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
28x54_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
29x21_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
29x23_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
29x25_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
29x27_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
29x29_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
29x31_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
29x33_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
29x35_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
29x37_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
29x39_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
29x41_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
29x43_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
29x45_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
29x47_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
29x49_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
29x51_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
29x53_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
29x55_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
30x20_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
30x22_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
30x24_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
30x26_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
30x28_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
30x30_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
