CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
22x28_1  ;0.1404248;0        ;3.000043 ;2.221892 
22x30_1  ;0.1404248;0        ;3.000043 ;2.221892 
22x32_1  ;0.1589343;0        ;3.699013 ;2.920862 
22x34_1  ;0.2152122;0        ;3.397983 ;2.619832 
22x36_1  ;0.1589343;0        ;3.699013 ;2.920862 
22x38_1  ;0.1479906;0        ;3.045801 ;2.267650 
22x40_1  ;0.1382701;0        ;3.221892 ;2.443741 
22x42_1  ;0.1382701;0        ;3.221892 ;2.443741 
22x44_1  ;0.1745524;0        ;3.522922 ;2.744771 
22x46_1  ;0.1404248;0        ;3.000043 ;2.221892 
22x48_1  ;0.1745524;0        ;3.522922 ;2.744771 
22x50_1  ;0.1745524;0        ;3.522922 ;2.744771 
22x52_1  ;0.1479906;0        ;3.045801 ;2.267650 
22x54_1  ;0.1479906;0        ;3.045801 ;2.267650 
23x23_1  ;0.1589343;0        ;3.699013 ;2.920862 
23x25_1  ;0.1589343;0        ;3.699013 ;2.920862 
23x27_1  ;0.1745524;0        ;3.522922 ;2.744771 
23x29_1  ;0.1382701;0        ;3.221892 ;2.443741 
23x31_1  ;0.1745524;0        ;3.522922 ;2.744771 
23x33_1  ;0.1589343;0        ;3.699013 ;2.920862 
23x35_1  ;0.2152122;0        ;3.397983 ;2.619832 
23x37_1  ;0.1589343;0        ;3.699013 ;2.920862 
23x39_1  ;0.1589343;0        ;3.699013 ;2.920862 
23x41_1  ;0.2152122;0        ;3.397983 ;2.619832 
23x43_1  ;0.1382701;0        ;3.221892 ;2.443741 
23x45_1  ;0.1745524;0        ;3.522922 ;2.744771 
23x47_1  ;0.1745524;0        ;3.522922 ;2.744771 
23x49_1  ;0.1745524;0        ;3.522922 ;2.744771 
23x51_1  ;0.2152122;0        ;3.397983 ;2.619832 
23x53_1  ;0.1404248;0        ;3.000043 ;2.221892 
23x55_1  ;0.2152122;0        ;3.397983 ;2.619832 
24x22_1  ;0.1404248;0        ;3.000043 ;2.221892 
24x24_1  ;0.1745524;0        ;3.522922 ;2.744771 
24x26_1  ;0.1479906;0        ;3.045801 ;2.267650 
24x28_1  ;0.1404248;0        ;3.000043 ;2.221892 
24x30_1  ;0.1382701;0        ;3.221892 ;2.443741 
24x32_1  ;0.1589343;0        ;3.699013 ;2.920862 
24x34_1  ;0.1404248;0        ;3.000043 ;2.221892 
24x36_1  ;0.1589343;0        ;3.699013 ;2.920862 
24x38_1  ;0.1745524;0        ;3.522922 ;2.744771 
24x40_1  ;0.1479906;0        ;3.045801 ;2.267650 
24x42_1  ;0.1382701;0        ;3.221892 ;2.443741 
24x44_1  ;0.1382701;0        ;3.221892 ;2.443741 
24x46_1  ;0.1404248;0        ;3.000043 ;2.221892 
24x48_1  ;0.2152122;0        ;3.397983 ;2.619832 
24x50_1  ;0.2152122;0        ;3.397983 ;2.619832 
24x52_1  ;0.1404248;0        ;3.000043 ;2.221892 
24x54_1  ;0.1479906;0        ;3.045801 ;2.267650 
25x21_1  ;0.1404248;0        ;3.000043 ;2.221892 
25x23_1  ;0.1382701;0        ;3.221892 ;2.443741 
25x25_1  ;0.1382701;0        ;3.221892 ;2.443741 
25x27_1  ;0.1745524;0        ;3.522922 ;2.744771 
25x29_1  ;0.1382701;0        ;3.221892 ;2.443741 
25x31_1  ;0.1589343;0        ;3.699013 ;2.920862 
25x33_1  ;0.1404248;0        ;3.000043 ;2.221892 
25x35_1  ;0.2152122;0        ;3.397983 ;2.619832 
25x37_1  ;0.1404248;0        ;3.000043 ;2.221892 
25x39_1  ;0.1479906;0        ;3.045801 ;2.267650 
25x41_1  ;0.1382701;0        ;3.221892 ;2.443741 
25x43_1  ;0.1382701;0        ;3.221892 ;2.443741 
25x45_1  ;0.1479906;0        ;3.045801 ;2.267650 
25x47_1  ;0.1479906;0        ;3.045801 ;2.267650 
25x49_1  ;0.2152122;0        ;3.397983 ;2.619832 
25x51_1  ;0.2152122;0        ;3.397983 ;2.619832 
